name;geog_id;transit_scores - population weighted averages aggregated from town/city level to county;
"Abbeville County, South Carolina";45001;0;
"Acadia Parish County, Louisiana";22001;0;
"Accomack County, Virginia";51001;"2,934976484";
"Ada County, Idaho";16001;"0,58498447";
"Adair County, Iowa";19001;0;
"Adair County, Kentucky";21001;0;
"Adair County, Missouri";29001;"7,1973E-05";
"Adair County, Oklahoma";40001;0;
"Adams County, Colorado";8001;"5,306979361";
"Adams County, Idaho";16003;0;
"Adams County, Illinois";17001;"1,865391129";
"Adams County, Indiana";18001;0;
"Adams County, Iowa";19003;0;
"Adams County, Mississippi";28001;0;
"Adams County, Nebraska";31001;"0,696614468";
"Adams County, North Dakota";38001;0;
"Adams County, Ohio";39001;0;
"Adams County, Pennsylvania";42001;"1,262357725";
"Adams County, Washington";53001;0;
"Adams County, Wisconsin";55001;0;
"Addison County, Vermont";50001;"1,868236949";
"Aiken County, South Carolina";45003;"0,070718075";
"Aitkin County, Minnesota";27001;0;
"Alachua County, Florida";12001;"5,720159672";
"Alamance County, North Carolina";37001;"0,474885728";
"Alameda County, California";6001;"7,10944533";
"Alamosa County, Colorado";8003;0;
"Albany County, New York";36001;"7,100041237";
"Albany County, Wyoming";56001;0;
"Albemarle County, Virginia";51003;"3,174800071";
"Alcona County, Michigan";26001;0;
"Alcorn County, Mississippi";28003;0;
"Aleutians East Borough County, Alaska";2013;0;
"Aleutians West Census Area County, Alaska";2016;0;
"Alexander County, Illinois";17003;0;
"Alexander County, North Carolina";37003;"0,170978204";
"Alexandria city County, Virginia";51510;"8,6";
"Alfalfa County, Oklahoma";40003;0;
"Alger County, Michigan";26003;0;
"Allamakee County, Iowa";19005;0;
"Allegan County, Michigan";26005;0;
"Allegany County, Maryland";24001;"2,43423178";
"Allegany County, New York";36003;"0,080458715";
"Alleghany County, North Carolina";37005;0;
"Alleghany County, Virginia";51005;"1,756828001";
"Allegheny County, Pennsylvania";42003;"5,973623202";
"Allen County, Indiana";18003;"2,629948703";
"Allen County, Kansas";20001;0;
"Allen County, Kentucky";21003;0;
"Allen Parish County, Louisiana";22003;0;
"Allen County, Ohio";39003;"1,973199558";
"Allendale County, South Carolina";45005;0;
"Alpena County, Michigan";26007;0;
"Alpine County, California";6003;"0,068587361";
"Amador County, California";6005;"0,891119492";
"Amelia County, Virginia";51007;0;
"Amherst County, Virginia";51009;"1,149558158";
"Amite County, Mississippi";28005;0;
"Anchorage Municipality County, Alaska";2020;"3,5";
"Anderson County, Kansas";20003;0;
"Anderson County, Kentucky";21005;0;
"Anderson County, South Carolina";45007;"1,144009383";
"Anderson County, Tennessee";47001;0;
"Anderson County, Texas";48001;0;
"Andrew County, Missouri";29003;"1,244314854";
"Andrews County, Texas";48003;0;
"Androscoggin County, Maine";23001;"1,921296388";
"Angelina County, Texas";48005;"1,495614617";
"Anne Arundel County, Maryland";24003;"2,615263019";
"Anoka County, Minnesota";27003;"2,318721414";
"Anson County, North Carolina";37007;0;
"Antelope County, Nebraska";31003;0;
"Antrim County, Michigan";26009;0;
"Apache County, Arizona";4001;"0,385791953";
"Appanoose County, Iowa";19007;0;
"Appling County, Georgia";13001;0;
"Appomattox County, Virginia";51011;0;
"Aransas County, Texas";48007;0;
"Arapahoe County, Colorado";8005;"5,490049856";
"Archer County, Texas";48009;0;
"Archuleta County, Colorado";8007;0;
"Arenac County, Michigan";26011;"0,473749912";
"Arkansas County, Arkansas";5001;0;
"Arlington County, Virginia";51013;"8,9";
"Armstrong County, Pennsylvania";42005;"0,211060444";
"Armstrong County, Texas";48011;0;
"Aroostook County, Maine";23003;0;
"Arthur County, Nebraska";31005;0;
"Ascension Parish County, Louisiana";22005;0;
"Ashe County, North Carolina";37009;0;
"Ashland County, Ohio";39005;0;
"Ashland County, Wisconsin";55003;"1,97743358";
"Ashley County, Arkansas";5003;0;
"Ashtabula County, Ohio";39007;0;
"Asotin County, Washington";53003;"0,279591623";
"Assumption Parish County, Louisiana";22007;0;
"Atascosa County, Texas";48013;0;
"Atchison County, Kansas";20005;0;
"Atchison County, Missouri";29005;0;
"Athens County, Ohio";39009;"3,821713102";
"Atkinson County, Georgia";13003;0;
"Atlantic County, New Jersey";34001;"4,742194904";
"Atoka County, Oklahoma";40005;0;
"Attala County, Mississippi";28007;0;
"Audrain County, Missouri";29007;0;
"Audubon County, Iowa";19009;0;
"Auglaize County, Ohio";39011;0;
"Augusta County, Virginia";51015;0;
"Aurora County, South Dakota";46003;0;
"Austin County, Texas";48015;0;
"Autauga County, Alabama";1001;0;
"Avery County, North Carolina";37011;0;
"Avoyelles Parish County, Louisiana";22009;0;
"Baca County, Colorado";8009;0;
"Bacon County, Georgia";13005;0;
"Bailey County, Texas";48017;0;
"Baker County, Florida";12003;0;
"Baker County, Georgia";13007;0;
"Baker County, Oregon";41001;"1,689945366";
"Baldwin County, Alabama";1003;"0,368329051";
"Baldwin County, Georgia";13009;0;
"Ballard County, Kentucky";21007;0;
"Baltimore County, Maryland";24005;"6,535931504";
"Bamberg County, South Carolina";45009;"0,821918824";
"Bandera County, Texas";48019;0;
"Banks County, Georgia";13011;0;
"Banner County, Nebraska";31007;0;
"Bannock County, Idaho";16005;"3,482687091";
"Baraga County, Michigan";26013;0;
"Barber County, Kansas";20007;0;
"Barbour County, Alabama";1005;0;
"Barnes County, North Dakota";38003;0;
"Barnstable County, Massachusetts";25001;"1,293541598";
"Barnwell County, South Carolina";45011;0;
"Barren County, Kentucky";21009;0;
"Barron County, Wisconsin";55005;0;
"Barrow County, Georgia";13013;0;
"Barry County, Michigan";26015;0;
"Barry County, Missouri";29009;0;
"Bartholomew County, Indiana";18005;0;
