FIPS,State,County,2020-02-15,2020-02-16,2020-02-17,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-22,2020-02-23,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-02-29,2020-03-01,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-07,2020-03-08,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-14,2020-03-15,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-21,2020-03-22,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-10,2020-04-11
01001,Alabama,Autauga County,,-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-14,,,,,,,,,,,,,,,,,,,,
01003,Alabama,Baldwin County,55,-12,31,21,41,-10,59,56,92,12,34,38,39,66,109,53,27,37,6,25,63,68,72,44,60,62,65,105,92,84,48,57,58,31,8,-25,-14,-27,-21,-13,-22,-6,-32,-27,-37,-46,-27,-34,-23,-42,-44,-43,-41,-35,-38,-31,-42
01005,Alabama,Barbour County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01007,Alabama,Bibb County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01009,Alabama,Blount County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01011,Alabama,Bullock County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01013,Alabama,Butler County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01015,Alabama,Calhoun County,,-27,,,,,,,-17,,,,,,,,,,,,,,,,,,,,,-22,,,,,,,,,,,,,,,,,,,,,,,,,,,
01017,Alabama,Chambers County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01019,Alabama,Cherokee County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01021,Alabama,Chilton County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01023,Alabama,Choctaw County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01025,Alabama,Clarke County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01027,Alabama,Clay County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01029,Alabama,Cleburne County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01031,Alabama,Coffee County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01033,Alabama,Colbert County,,,-31,-55,,-51,-49,,,-56,-29,,-30,-35,,,-42,,,-23,-33,,,-31,-19,,-16,-16,,,-49,-33,,-35,-56,,,-53,-52,,-14,,,,-49,-48,,-26,-23,,,-44,-48,,-44,-37,
01035,Alabama,Conecuh County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01037,Alabama,Coosa County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01039,Alabama,Covington County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01041,Alabama,Crenshaw County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01043,Alabama,Cullman County,33,8,11,-16,-2,-30,-2,62,3,-20,,-2,2,19,66,69,-11,,2,-11,14,,,,,17,33,16,,-8,9,,28,30,10,41,58,-11,,,,86,,,37,10,28,36,63,,65,41,14,38,33,38,
01045,Alabama,Dale County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01047,Alabama,Dallas County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
